county,population_2019
Barbour,16633
Berkeley,115329
Boone,22368
Braxton,14190
Brooke,22459
Cabell,94339
Calhoun,7295
Clay,8709
Doddridge,8560
Fayette,43576
Gilmer,8041
Grant,11616
Greenbrier,35155
Hampshire,23309
Hancock,29383
Hardy,13805
Harrison,67908
Jackson,28907
Jefferson,56506
Kanawha,183279
Lewis,16166
Lincoln,20850
Logan,33154
McDowell,18661
Marion,56355
Marshall,31308
Mason,26820
Mercer,59919
Mineral,27167
Mingo,24290
Monongalia,105474
Monroe,13401
Morgan,17709
Nicholas,25078
Ohio,42143
Pendleton,7001
Pleasants,7482
Pocahontas,8450
Preston,33683
Putnam,56610
Raleigh,75252
Randolph,28930
Ritchie,9844
Roane,14020
Summers,12848
Taylor,16864
Tucker,6982
Tyler,8811
Upshur,24502
Wayne,40303
Webster,8386
Wetzel,15436
Wirt,5798
Wood,84960
Wyoming,21281
