"",ADDRESS,NAME,DEM,REP,GRN,LIB,WCP,UNAF,OTH,TOTAL,DEM,REP,GRN,LIB,WCP,UNAF,OTH,TOTAL
ALLEGANY,422,104,33,24,0,2,0,33,6,98,11868,22908,78,230,73,8453,389,"43,999"
ANNE ARUNDEL,4060,3056,286,252,11,35,11,832,248,"1,675",175138,130762,650,2300,427,98350,3041,"410,668"
BALTIMORE CITY,8273,4032,428,122,7,12,14,273,49,905,303826,28218,903,1073,646,56663,3971,"395,300"
BALTIMORE CO.,6461,3906,414,204,11,44,8,701,394,"1,776",311586,138270,903,2529,685,108672,5999,"568,644"
CALVERT,491,342,48,46,2,2,1,44,17,160,24005,28073,94,415,70,15489,556,"68,702"
CAROLINE,136,108,19,16,1,1,0,39,9,85,6287,10617,34,110,39,4537,164,"21,788"
CARROLL,1115,534,84,108,1,5,1,75,16,290,33890,64368,192,802,101,28865,1051,"129,269"
CECIL,648,310,55,40,1,5,0,57,7,165,20849,32227,112,452,104,16672,685,"71,101"
CHARLES,1325,538,87,39,1,1,0,38,18,184,74881,23460,131,428,142,22176,862,"122,080"
DORCHESTER,281,96,23,10,0,3,0,24,6,66,9655,9016,22,110,34,3824,189,"22,850"
FREDERICK,2523,1017,163,151,3,8,4,318,20,667,77282,68809,332,1168,176,49092,1087,"197,946"
GARRETT,79,81,12,10,1,0,1,12,4,40,3739,13711,25,105,20,2841,158,"20,599"
HARFORD,2304,919,149,120,4,11,2,223,44,553,65717,80695,248,1196,200,41705,1647,"191,408"
HOWARD,2885,1453,200,162,6,9,4,216,36,633,122194,49372,357,903,130,57367,2030,"232,353"
KENT,91,34,12,12,0,0,1,6,0,31,5868,5254,20,68,22,2594,111,"13,937"
MONTGOMERY,12070,8635,"1,200",644,18,44,15,"1,380",221,"3,522",413365,98170,1128,2266,445,160577,5580,"681,531"
PR. GEORGE'S,6756,3236,407,94,14,25,6,527,370,"1,443",464963,37836,783,1332,593,86155,10872,"602,534"
QUEEN ANNE'S,423,154,14,33,0,0,1,28,7,83,11202,19746,47,224,34,8082,299,"39,634"
ST. MARY'S,622,296,42,65,1,4,1,60,7,180,25640,32009,111,478,87,17028,660,"76,013"
SOMERSET,99,56,5,5,0,0,0,32,3,45,5613,6024,23,62,15,2303,113,"14,153"
TALBOT,266,187,19,17,2,4,1,75,43,161,10865,11760,41,141,20,5682,227,"28,736"
WASHINGTON,648,565,82,41,2,12,4,242,87,470,31626,44282,169,631,126,22325,876,"100,035"
WICOMICO,513,259,44,34,0,2,4,26,9,119,26948,24081,107,354,109,13629,677,"65,905"
WORCESTER,585,231,39,19,4,5,0,125,30,222,13954,19237,55,214,35,8492,465,"42,452"
TOTAL,"53,076","30,149","3,865","2,268",90,234,79,"5,386","1,651","13,573","2,250,961","998,905","6,565","17,591","4,333","841,573","41,709","4,161,637"
