GEOID,County,Trump,Biden,Jorgensen,Hawkins,Segal
24001,Allegany,20886,9158,308,120,39
24003,Anne Arundel,127821,172823,4652,1247,381
24510,Baltimore City,25374,207260,1761,1338,456
24005,Baltimore County,146202,258409,4927,1820,548
24009,Calvert,25346,22587,733,127,39
24011,Caroline,10283,5095,229,90,32
24013,Carroll,60218,36456,2028,537,169
24015,Cecil,29439,16809,706,229,90
24017,Charles,25579,62171,769,408,136
24019,Dorchester,8764,6857,174,97,42
24021,Frederick,63682,77675,2282,686,243
24023,Garrett,12002,3281,212,64,20
24025,Harford,80930,63095,2473,577,146
24027,Howard,48390,129433,2471,785,245
24029,Kent,5195,5329,117,68,31
24031,Montgomery,101222,419569,4247,3091,1440
24033,Prince George's,37090,379208,1810,3349,1394
24035,Queen Anne's,18741,10709,411,164,54
24037,Saint Mary's,30826,23138,1112,200,63
24039,Somerset,5739,4241,82,38,17
24041,Talbot,10946,11062,274,83,35
24043,Washington,40224,26044,836,309,97
24045,Wicomico,22944,22054,538,292,147
24047,Worcester,18571,12560,336,80,20
